bus_i,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.842272406492591,7.255222300635145,7.680945659844743,7.949823570924489,7.479287226534934,7.1700776287932255,9.128405081157375,12.242907551164432,13.73517995765702,14.600070571630207,14.649364855328157,14.47907551164432,14.514925899788285,14.54181369089626,15.048200423429781,14.5014820042343,17.257480592801695,18.373323923782642,16.325370501058575,14.380486944248412,12.431122088920253,9.849894142554694,7.528581510232886,7.331404375441073
3,0.7410021171489062,0.6855328158080453,0.7257586450247001,0.7511644318983769,0.7067043048694426,0.6774876499647142,0.8625264643613267,1.1568101623147495,1.2978122794636555,1.3795342272406494,1.3841919548341566,1.3681016231474947,1.3714890613973183,1.374029640084686,1.421877205363444,1.3702187720536345,1.6306280875088217,1.7360621030345802,1.5425546930134089,1.3587861679604798,1.1745942131263232,0.9306986591390262,0.7113620324629499,0.6927311220889203
4,0.9880028228652084,0.914043754410727,0.9676781933662669,1.0015525758645027,0.9422724064925903,0.903316866619619,1.1500352858151024,1.5424135497529994,1.7304163726182076,1.8393789696541996,1.8455892731122088,1.8241354975299933,1.8286520818630914,1.832039520112915,1.8958362738179255,1.8269583627381796,2.1741707833450956,2.314749470712774,2.056739590684545,1.8117148906139733,1.5661256175017644,1.2409315455187018,0.9484827099505999,0.9236414961185604
5,11.73253352152435,10.854269583627383,11.49117854622442,11.893436838390969,11.189484827099509,10.726887791107975,13.656669019054341,18.316160903316867,20.548694424841216,21.84262526464362,21.91637261820748,21.661609033168666,21.715243472124207,21.755469301340863,22.513055751587864,21.69513055751588,25.81827805222301,27.487649964714187,24.423782639378974,21.514114326040932,18.59774170783345,14.736062103034582,11.263232180663374,10.968242766407904
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.730769230769232,6.226923076923078,6.592307692307694,6.823076923076925,6.41923076923077,6.153846153846154,7.834615384615385,10.50769230769231,11.788461538461538,12.530769230769234,12.573076923076922,12.426923076923078,12.457692307692309,12.480769230769234,12.915384615384617,12.446153846153848,14.811538461538465,15.769230769230772,14.011538461538464,12.342307692307694,10.66923076923077,8.453846153846156,6.461538461538462,6.292307692307693
8,18.525052928722655,17.13832039520113,18.143966125617503,18.779110797459424,17.667607621736067,16.937191249117856,21.56316160903317,28.92025405786874,32.44530698659139,34.48835568101624,34.60479887085391,34.20254057868737,34.28722653493296,34.350741002117154,35.546930134086104,34.25546930134087,40.76570218772054,43.40155257586451,38.563867325335224,33.969654199012,29.36485532815808,23.267466478475654,17.78405081157375,17.318278052223008
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.2350035285815104,1.1425546930134087,1.2095977417078336,1.2519407198306283,1.1778405081157377,1.1291460832745237,1.437544107268878,1.9280169371912492,2.1630204657727594,2.2992237120677492,2.306986591390261,2.2801693719124914,2.285815102328864,2.2900494001411436,2.3697953422724067,2.2836979534227244,2.7177134791813695,2.893436838390967,2.5709244883556814,2.2646436132674665,1.9576570218772054,1.551164431898377,1.18560338743825,1.1545518701482005
